loss,precision,recall,auc,auc_1
0.3707576394081116,0.7235609292984009,0.8641087412834167,0.9301230311393738,0.875827431678772
0.3838859498500824,0.7449147701263428,0.84318608045578,0.9215928316116333,0.8800504207611084
0.40812182426452637,0.9950428009033203,0.8289844393730164,0.7573776841163635,0.9959679841995239
0.4386020004749298,0.9972465634346008,0.8253573775291443,0.8087055683135986,0.9976143836975098
0.3853958547115326,0.6992377042770386,0.8728373646736145,0.9263715147972107,0.8687305450439453
0.37062937021255493,0.7273945212364197,0.8660287261009216,0.9292072653770447,0.8745351433753967
0.3700054883956909,0.7260459065437317,0.86080002784729,0.9297096133232117,0.8759633302688599
0.36569222807884216,0.7038596272468567,0.8572649359703064,0.9331130981445312,0.870447039604187
0.3786574602127075,0.7007498145103455,0.8616932034492493,0.92866051197052,0.872222900390625
0.4294799864292145,0.9969627857208252,0.8153591156005859,0.8389943838119507,0.9985777139663696
0.3875414729118347,0.6986014246940613,0.8664354085922241,0.9253273606300354,0.866517186164856
0.384454607963562,0.6998587846755981,0.8609904646873474,0.9256062507629395,0.8671438097953796
0.37584513425827026,0.7195203304290771,0.8612440228462219,0.9280241131782532,0.871940016746521
0.37557896971702576,0.699192464351654,0.8701842427253723,0.9303219318389893,0.8760701417922974
0.3812044560909271,0.7075940370559692,0.8639514446258545,0.9267451763153076,0.8688399791717529
